"","ensembl_id","gene_name"
"391","ENSMUSG00000026245","Farsb"
"392","ENSMUSG00000090486","BC035947"
"393","ENSMUSG00000012187","Mogat1"
"394","ENSMUSG00000032883","Acsl3"
"395","ENSMUSG00000079470","Utp14b"
"396","ENSMUSG00000047330","Kcne4"
"397","ENSMUSG00000050711","Scg2"
"398","ENSMUSG00000054702","Ap1s3"
"399","ENSMUSG00000073643","Wdfy1"
"400","ENSMUSG00000026248","Mrpl44"
"401","ENSMUSG00000026249","Serpine2"
"402","ENSMUSG00000043230","Fam124b"
"403","ENSMUSG00000004364","Cul3"
"404","ENSMUSG00000038608","Dock10"
"405","ENSMUSG00000054976","Nyap2"
"406","ENSMUSG00000055980","Irs1"
"407","ENSMUSG00000026142","Rhbdd1"
"408","ENSMUSG00000067158","Col4a4"
"409","ENSMUSG00000079465","Col4a3"
"410","ENSMUSG00000026150","Mff"
"411","ENSMUSG00000026149","Tm4sf20"
"412","ENSMUSG00000026159","Agfg1"
"413","ENSMUSG00000038496","Slc19a3"
"414","ENSMUSG00000100190","Krtap28-10"
"415","ENSMUSG00000101315","Krtap28-13"
"416","ENSMUSG00000026166","Ccl20"
"417","ENSMUSG00000053161","Daw1"
"418","ENSMUSG00000026163","Sphkap"
"419","ENSMUSG00000045658","Pid1"
"420","ENSMUSG00000036766","Dner"
"421","ENSMUSG00000026219","Trip12"
"422","ENSMUSG00000073633","Fbxo36"
"423","ENSMUSG00000026220","Slc16a14"
"424","ENSMUSG00000052477","C130026I21Rik"
"425","ENSMUSG00000089844","A530032D15Rik"
"426","ENSMUSG00000070034","Sp110"
"427","ENSMUSG00000070031","Sp140"
"428","ENSMUSG00000026222","Sp100"
"429","ENSMUSG00000052760","A630001G21Rik"
"430","ENSMUSG00000036707","Cab39"
"431","ENSMUSG00000026223","Itm2c"
"432","ENSMUSG00000026224","4933407L21Rik"
"433","ENSMUSG00000049608","Gpr55"
"434","ENSMUSG00000026226","Spata3"
"435","ENSMUSG00000026227","2810459M11Rik"
"436","ENSMUSG00000026229","Psmd1"
"437","ENSMUSG00000026228","Htr2b"
"438","ENSMUSG00000094638","Gm21972"
"439","ENSMUSG00000062590","Armc9"
"440","ENSMUSG00000079445","B3gnt7"
"441","ENSMUSG00000026234","Ncl"
"442","ENSMUSG00000026237","Nmur1"
"443","ENSMUSG00000036574","1700019O17Rik"
"444","ENSMUSG00000026238","Ptma"
"445","ENSMUSG00000026239","Pde6d"
"446","ENSMUSG00000026240","Cops7b"
"447","ENSMUSG00000026241","Nppc"
"448","ENSMUSG00000053333","Dis3l2"
"449","ENSMUSG00000026246","Alppl2"
"450","ENSMUSG00000079440","Alpi"
"451","ENSMUSG00000036500","Akp3"
"452","ENSMUSG00000026247","Ecel1"
"453","ENSMUSG00000036480","Prss56"
"454","ENSMUSG00000026251","Chrnd"
"455","ENSMUSG00000026253","Chrng"
"456","ENSMUSG00000026254","Eif4e2"
"457","ENSMUSG00000026255","Efhd1"
"458","ENSMUSG00000048000","Gigyf2"
"459","ENSMUSG00000079436","Kcnj13"
"460","ENSMUSG00000026258","3110079O15Rik"
"461","ENSMUSG00000026259","Ngef"
"462","ENSMUSG00000079434","Neu2"
"463","ENSMUSG00000026288","Inpp5d"
"464","ENSMUSG00000026289","Atg16l1"
"465","ENSMUSG00000056055","Sag"
"466","ENSMUSG00000070738","Dgkd"
"467","ENSMUSG00000005501","Usp40"
"468","ENSMUSG00000090165","Ugt1a10"
"469","ENSMUSG00000090175","Ugt1a9"
"470","ENSMUSG00000089675","Ugt1a8"
"471","ENSMUSG00000090124","Ugt1a7c"
"472","ENSMUSG00000090145","Ugt1a6b"
"473","ENSMUSG00000054545","Ugt1a6a"
"474","ENSMUSG00000089943","Ugt1a5"
"475","ENSMUSG00000090171","Ugt1a2"
"476","ENSMUSG00000081984","Dnajb3"
"477","ENSMUSG00000089960","Ugt1a1"
"478","ENSMUSG00000079429","Mroh2a"
"479","ENSMUSG00000044783","Hjurp"
"480","ENSMUSG00000036251","Trpm8"
"481","ENSMUSG00000026295","Spp2"
"482","ENSMUSG00000062310","Glrp1"
"483","ENSMUSG00000049866","Arl4c"
"484","ENSMUSG00000036206","Sh3bp4"
"485","ENSMUSG00000055013","Agap1"
"486","ENSMUSG00000034486","Gbx2"
"487","ENSMUSG00000067081","Asb18"
"488","ENSMUSG00000026301","Iqca"
"489","ENSMUSG00000044337","Ackr3"
"490","ENSMUSG00000034432","Cops8"
"491","ENSMUSG00000048126","Col6a3"
"492","ENSMUSG00000026303","Mlph"
"493","ENSMUSG00000090550","Prlh"
"494","ENSMUSG00000026304","Rab17"
"495","ENSMUSG00000026305","Lrrfip1"
"496","ENSMUSG00000070732","Rbm44"
"497","ENSMUSG00000034353","Ramp1"
"498","ENSMUSG00000034343","Ube2f"
"499","ENSMUSG00000026307","Scly"
"500","ENSMUSG00000049515","Espnl"
"501","ENSMUSG00000026308","Klhl30"
"502","ENSMUSG00000047443","Fam132b"
"503","ENSMUSG00000026309","Ilkap"
"504","ENSMUSG00000067071","Hes6"
"505","ENSMUSG00000055866","Per2"
"506","ENSMUSG00000034292","Traf3ip1"
"507","ENSMUSG00000026311","Asb1"
"508","ENSMUSG00000007805","Twist2"
